id,symbol,name,market_cap_rank,current_price,market_cap,fully_diluted_valuation,total_volume,high_24h,low_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,price_change_24h,price_change_percentage_24h,price_change_percentage_1h,price_change_percentage_7d,price_change_percentage_30d,price_change_percentage_1y,market_cap_change_24h,market_cap_change_percentage_24h,last_updated,image,supply_utilization
bitcoin,BTC,Bitcoin,1,92551,1.85E+12,1.85E+12,81656907188,93929,90837,19957184,19957184,21000000,126080,-26.16251,2025-10-06T18:57:42.558Z,67.81,137188.8849,2013-07-06T00:00:00.000Z,611.5,0.66511,-0.473152855,5.391199118,-13.15887737,-2.776376992,14115935216,0.76906,2025-12-03T18:57:01.835Z,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,95.03420952
ethereum,ETH,Ethereum,2,3114.18,3.77E+11,3.77E+11,25348972896,3139.77,2976.94,120695439,120695439,,4946.05,-36.63835,2025-08-24T19:21:03.333Z,0.432979,723699.29,2015-10-20T00:00:00.000Z,99.26,3.29234,-0.53016637,5.687871401,-13.8155711,-12.42351389,12905449636,3.5432,2025-12-03T18:57:03.636Z,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,0
tether,USDT,Tether,3,1,1.85E+11,1.90E+11,1.02E+11,1,1,1.85E+11,1.90E+11,,1.32,-24.39618,2018-07-24T00:00:00.000Z,0.572521,74.72034,2015-03-02T00:00:00.000Z,9.90E-06,0.00099,-0.004542049,0.043570648,0.030965908,0.013443598,106627204,0.05775,2025-12-03T18:57:02.158Z,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0
ripple,XRP,XRP,4,2.17,1.31E+11,2.18E+11,4038903013,2.21,2.14,60331635327,99985752852,1.00E+11,3.65,-40.14613,2025-07-18T03:40:53.808Z,0.00268621,81148.33581,2014-05-22T00:00:00.000Z,0.00035576,0.01637,-0.497115117,-0.706636411,-8.403034038,-13.72411663,366667283,0.27972,2025-12-03T18:57:00.544Z,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,60.33163533
binancecoin,BNB,BNB,5,902.22,1.24E+11,1.24E+11,2001781827,908.27,873.6,137736129.3,137736129.3,200000000,1369.99,-34.0073,2025-10-13T08:41:24.131Z,0.0398177,2270484.418,2017-10-19T00:00:00.000Z,21.22,2.40889,-0.549928579,3.466731471,-9.351678069,39.56034931,2885938783,2.37749,2025-12-03T18:57:01.669Z,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,68.86806467
solana,SOL,Solana,6,141.2,79225555072,87090951589,6196102271,143.83,138,559773912.5,615347442.8,,293.31,-51.73765,2025-01-19T11:15:27.957Z,0.500801,28166.55513,2020-05-11T19:35:23.449Z,1.23,0.87813,-0.529313707,3.151525704,-16.16045652,-36.71116272,863143512,1.10148,2025-12-03T18:57:01.047Z,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,0
usd-coin,USDC,USDC,7,0.99987,77783988427,77793782336,11478648490,0.999955,0.999605,77799358066,77809153910,,1.17,-14.73567,2019-05-08T00:40:28.300Z,0.877647,13.92969,2023-03-11T08:02:13.981Z,7.81E-05,0.00781,0.006711342,0.016572761,0.006321419,0.029950171,271248116,0.34994,2025-12-03T18:57:02.731Z,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0
staked-ether,STETH,Lido Staked Ether,8,3118.8,27054607998,27054650429,24654685,3138.73,2975.54,8649543.232,8649556.798,,4932.89,-36.45558,2025-08-24T19:21:31.902Z,482.9,549.12062,2020-12-22T04:08:21.854Z,103.85,3.44459,-0.279691245,5.895807939,-13.64806438,-12.25543303,960044751,3.6791,2025-12-03T18:57:00.881Z,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,0
tron,TRX,TRON,9,0.278888,26411488514,26411486537,621854623,0.282908,0.278628,94678628946,94678621861,,0.431288,-35.27626,2024-12-04T00:10:40.323Z,0.00180434,15370.79198,2017-11-12T00:00:00.000Z,-0.003946254,-1.39525,-0.022418911,1.614635247,-2.821686984,1.821566962,-384077944.7,-1.43336,2025-12-03T18:57:02.213Z,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0
dogecoin,DOGE,Dogecoin,10,0.150737,22971503109,24410204900,1561993418,0.151837,0.145058,1.52E+11,1.62E+11,,0.731578,-79.31814,2021-05-08T05:08:23.458Z,8.69E-05,174005.2183,2015-05-06T00:00:00.000Z,0.00450416,3.08013,-0.463104019,-0.78786458,-10.6369216,-62.72268692,733171110,3.29688,2025-12-03T18:57:06.220Z,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0
