id,symbol,name,market_cap_rank,current_price,market_cap,fully_diluted_valuation,total_volume,high_24h,low_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,price_change_24h,price_change_percentage_24h,price_change_percentage_1h,price_change_percentage_7d,price_change_percentage_30d,price_change_percentage_1y,market_cap_change_24h,market_cap_change_percentage_24h,last_updated,image,supply_utilization,liquidity_ratio,volatility_24h,volatility_7d,speculation_index,force_demand,force_supply,force_volatility,force_liquidity,force_speculation,equilibrium_shift,equilibrium_center,equilibrium_lower,equilibrium_upper,tension_score
bitcoin,BTC,Bitcoin,1,92551.0,1850000000000.0,1850000000000.0,81656907188.0,93929.0,90837.0,19957184.0,19957184.0,21000000.0,126080.0,-26.16251,2025-10-06T18:57:42.558Z,67.81,137188.8849,2013-07-06T00:00:00.000Z,611.5,0.66511,-0.473152855,5.391199118,-13.15887737,-2.776376992,14115935216.0,0.76906,2025-12-03T18:57:01.835Z,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,95.03420952,0.04413886875027027,0.66511,5.391199118,0.2673186332704671,0.8388,0.716,-0.248,0.03600000000000003,0.1279999999999999,0.07952699999999997,99911.30337699999,85863.77412219379,113958.83263180619,1.1541799999999998
ethereum,ETH,Ethereum,2,3114.18,377000000000.0,377000000000.0,25348972896.0,3139.77,2976.94,120695439.0,120695439.0,,4946.05,-36.63835,2025-08-24T19:21:03.333Z,0.432979,723699.29,2015-10-20T00:00:00.000Z,99.26,3.29234,-0.53016637,5.687871401,-13.8155711,-12.42351389,12905449636.0,3.5432,2025-12-03T18:57:03.636Z,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,0.0,0.06723865489655173,3.29234,5.687871401,0.6038173352899183,0.8488,-0.5640000000000001,-0.28800000000000003,0.17199999999999993,0.3680000000000001,0.05671199999999999,3290.7913761600003,2801.779777662624,3779.8029746573766,1.0220799999999999
tether,USDT,Tether,3,1.0,185000000000.0,190000000000.0,102000000000.0,1.0,1.0,185000000000.0,190000000000.0,,1.32,-24.39618,2018-07-24T00:00:00.000Z,0.572521,74.72034,2015-03-02T00:00:00.000Z,9.9e-06,0.00099,-0.004542049,0.043570648,0.030965908,0.013443598,106627204.0,0.05775,2025-12-03T18:57:02.158Z,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.0,0.5513513513513514,0.00099,0.043570648,0.02456857349189189,0.5856,-0.5640000000000001,0.8780000000000001,0.9119999999999999,-0.358,-0.008106000000000009,0.9918939999999999,0.9203288479,1.0634591520999999,0.11504
ripple,XRP,XRP,4,2.17,131000000000.0,218000000000.0,4038903013.0,2.21,2.14,60331635327.0,99985752852.0,100000000000.0,3.65,-40.14613,2025-07-18T03:40:53.808Z,0.00268621,81148.33581,2014-05-22T00:00:00.000Z,0.00035576,0.01637,-0.497115117,-0.706636411,-8.403034038,-13.72411663,366667283.0,0.27972,2025-12-03T18:57:00.544Z,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,60.33163533,0.030831320709923664,0.01637,0.706636411,0.022291242532871878,0.47559999999999997,0.41999999999999993,0.532,-0.09399999999999997,-0.378,0.0024839999999999945,2.17539028,1.981889314594,2.368891245406,0.25055999999999995
binancecoin,BNB,BNB,5,902.22,124000000000.0,124000000000.0,2001781827.0,908.27,873.6,137736129.3,137736129.3,200000000.0,1369.99,-34.0073,2025-10-13T08:41:24.131Z,0.0398177,2270484.418,2017-10-19T00:00:00.000Z,21.22,2.40889,-0.549928579,3.466731471,-9.351678069,39.56034931,2885938783.0,2.37749,2025-12-03T18:57:01.669Z,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,68.86806467,0.016143401830645162,2.40889,3.466731471,0.09485251841111943,0.7864,0.476,-0.010000000000000009,-0.276,-0.134,0.043626,941.58024972,826.566222216702,1056.594277223298,0.79584
solana,SOL,Solana,6,141.2,79225555072.0,87090951589.0,6196102271.0,143.83,138.0,559773912.5,615347442.8,,293.31,-51.73765,2025-01-19T11:15:27.957Z,0.500801,28166.55513,2020-05-11T19:35:23.449Z,1.23,0.87813,-0.529313707,3.151525704,-16.16045652,-36.71116272,863143512.0,1.10148,2025-12-03T18:57:01.047Z,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,0.0,0.07820837942213213,0.87813,3.151525704,0.3151528422389909,0.7647999999999999,-0.5640000000000001,0.06800000000000006,0.22999999999999998,0.18799999999999994,0.03482699999999999,146.11757239999997,127.66292300587997,164.57222179411997,0.6981799999999999
usd-coin,USDC,USDC,7,0.99987,77783988427.0,77793782336.0,11478648490.0,0.999955,0.999605,77799358066.0,77809153910.0,,1.17,-14.73567,2019-05-08T00:40:28.300Z,0.877647,13.92969,2023-03-11T08:02:13.981Z,7.81e-05,0.00781,0.006711342,0.016572761,0.006321419,0.029950171,271248116.0,0.34994,2025-12-03T18:57:02.731Z,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.0,0.14757083973358695,0.00781,0.016572761,0.003598184515793354,0.57,-0.5640000000000001,0.9179999999999999,0.512,-0.608,-0.030375,0.96949894875,0.907547965924875,1.031449931575125,0.24350000000000005
staked-ether,STETH,Lido Staked Ether,8,3118.8,27054607998.0,27054650429.0,24654685.0,3138.73,2975.54,8649543.232,8649556.798,,4932.89,-36.45558,2025-08-24T19:21:31.902Z,482.9,549.12062,2020-12-22T04:08:21.854Z,103.85,3.44459,-0.279691245,5.895807939,-13.64806438,-12.25543303,960044751.0,3.6791,2025-12-03T18:57:00.881Z,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,0.0,0.0009112933738246212,3.44459,5.895807939,0.008511842750695848,0.6052,-0.5640000000000001,-0.32200000000000006,-0.6819999999999999,-0.506,-0.013602,3076.3780824,2681.21731771572,3471.53884708428,0.75168
tron,TRX,TRON,9,0.278888,26411488514.0,26411486537.0,621854623.0,0.282908,0.278628,94678628946.0,94678621861.0,,0.431288,-35.27626,2024-12-04T00:10:40.323Z,0.00180434,15370.79198,2017-11-12T00:00:00.000Z,-0.003946254,-1.39525,-0.022418911,1.614635247,-2.821686984,1.821566962,-384077944.7,-1.43336,2025-12-03T18:57:02.213Z,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.0,0.02354485331905364,1.39525,1.614635247,0.07086730664779853,0.6900000000000001,-0.5640000000000001,0.3460000000000001,-0.18999999999999995,-0.19399999999999995,-0.004080000000000002,0.27775013696,0.249183535373664,0.306316738546336,0.35419999999999996
dogecoin,DOGE,Dogecoin,10,0.150737,22971503109.0,24410204900.0,1561993418.0,0.151837,0.145058,152000000000.0,162000000000.0,,0.731578,-79.31814,2021-05-08T05:08:23.458Z,8.69e-05,174005.2183,2015-05-06T00:00:00.000Z,0.00450416,3.08013,-0.463104019,-0.78786458,-10.6369216,-62.72268692,733171110.0,3.29688,2025-12-03T18:57:06.220Z,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.0,0.0679970052716327,3.08013,0.78786458,0.26301204784690674,0.4679999999999999,-0.5640000000000001,0.512,0.17599999999999993,0.12200000000000011,0.001739999999999996,0.15099928238000002,0.13552940590016901,0.16646915885983102,0.2556
